hole_id,prospect,sample_id,depth_from,depth_to,length,lith1,alt_1_type,alt_1_style,Au_ppm_preferred,Ag_ppm,Al_pct,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_pct,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,K_pct,La_ppm,Li_ppm,Lu_ppm,Mg_pct,Mn_pct,Mo_ppm,Na_pct,Nb_ppm,Ni_ppm,P_pct,Pb_ppm,Rb_ppm,Re_ppm,S_pct,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_pct,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm
HOLE_001,Jerimum de Cima,100000,0.00,3.00,3.00,QC,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100001,3.00,6.00,3.00,SAP,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100002,6.00,9.00,3.00,SAP,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100003,9.00,12.00,3.00,SAP,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100004,12.00,18.00,6.00,SAP,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100005,18.00,22.00,4.00,SAP,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100006,22.00,25.00,3.00,SAP,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100007,25.00,27.00,2.00,SAP,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100008,27.00,30.00,3.00,SAP,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLE_001,Jerimum de Cima,100009,30.00,33.00,3.00,SAP,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
